seed,dataset,model,method,n_groups,n_samples,accuracy,balanced_accuracy,precision,recall,f1,privileged_positive_rate,unprivileged_positive_rate,demographic_parity_ratio,demographic_parity_difference,privileged_tpr,unprivileged_tpr,privileged_fpr,unprivileged_fpr,tpr_gap,fpr_gap,equalized_odds_gap,fairness_pass,roc_auc,intervention_rate,total_interventions,rolling_avg_dpr,rolling_min_dpr,rolling_fair_rate,rolling_max_eo_gap,rolling_tail_avg_dpr,rolling_tail_fair_rate,rolling_tail_max_eo_gap,accuracy_delta_vs_base,dpr_delta_vs_base,thresholds,coda_threshold_updates,coda_damping_events,coda_lambda_mean,coda_lambda_max,coda_lambda_final,coda_dpr_mean,coda_dpr_std,coda_tau_initial_group_0,coda_tau_final_group_0,coda_tau_mean_group_0,coda_tau_range_group_0,coda_tau_initial_group_1,coda_tau_final_group_1,coda_tau_mean_group_1,coda_tau_range_group_1,coda_tau_initial_group_2,coda_tau_final_group_2,coda_tau_mean_group_2,coda_tau_range_group_2,coda_tau_initial_group_3,coda_tau_final_group_3,coda_tau_mean_group_3,coda_tau_range_group_3,coda_tau_initial_group_4,coda_tau_final_group_4,coda_tau_mean_group_4,coda_tau_range_group_4
42,adult_race,logistic_regression,base_model,5,6513.0,0.8536772608628896,0.7697143708342791,0.7381874515879163,0.607780612244898,0.6666666666666667,0.09671848013816926,0.21165807712813223,2.1883933331640812,0.11493959698996296,0.527027027027027,0.6167247386759582,0.033663366336633666,0.07299618320610687,0.08969771164893126,0.03933281686947321,0.08969771164893126,1.0,0.9017356095623285,0.0,0.0,0.33631770729062305,0.0,0.19100261016428682,1.0,0.33861012340767876,0.19217081850533807,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,adult_race,logistic_regression,multigroup_threshold,5,6513.0,0.8493781667434362,0.7708030039619488,0.7166051660516605,0.6192602040816326,0.664385904892234,0.17098445595854922,0.21165807712813223,1.2378790571433187,0.04067362116958301,0.7027027027027027,0.6167247386759582,0.09306930693069307,0.07299618320610687,-0.08597796402674451,-0.020073123724586195,0.08597796402674451,1.0,0.9017356095623285,0.009826500844464917,64.0,0.46828840777298913,0.0,0.2590204206970674,1.0,0.47130640707355526,0.26056011140337304,1.0,-0.004299094119453395,-0.9505142760207625,"{0: np.float64(0.5), 1: np.float64(0.3), 2: np.float64(0.4), 3: np.float64(0.5), 4: np.float64(0.15)}",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,adult_race,logistic_regression,coda_multigroup,5,6513.0,0.8444649163212038,0.7433954623305339,0.7381974248927039,0.548469387755102,0.6293450420783023,0.153713298791019,0.18091345299449085,1.1769538121776428,0.027200154203471855,0.6891891891891891,0.5400696864111498,0.07524752475247524,0.0579675572519084,-0.14911950277803931,-0.017279967500566845,0.14911950277803931,1.0,0.9017356095623285,0.03899892522647014,254.0,0.3885445448143122,0.0,0.19484108705665593,1.0,0.39094561805145056,0.19588426427355718,1.0,-0.009212344541685846,-1.0114395209864384,,5388.0,1978.0,4.093106709657608,5.0,5.0,0.18710589358006158,0.2002630456566146,0.5,0.3961901774931556,0.561353926773998,0.22406403267024771,0.3,0.18000000000000005,0.3216444050349236,0.2399999999999996,0.4,0.5199999999999998,0.48242348090083575,0.11999999999999977,0.5,0.38000000000000067,0.4018754762229394,0.11999999999999933,0.15,0.2699999999999999,0.23883597949793786,0.11999999999999988
42,adult_race,xgboost,base_model,5,6513.0,0.8694917856594503,0.7923237887167001,0.7761538461538462,0.6434948979591837,0.7036262203626221,0.10362694300518134,0.21219122089923584,2.047645281677626,0.1085642778940545,0.581081081081081,0.6494773519163763,0.033663366336633666,0.0625,0.06839627083529531,0.028836633663366334,0.06839627083529531,1.0,0.9212129341119664,0.0,0.0,0.3603132910020327,0.0,0.2026715799170889,1.0,0.36279134524156564,0.20393006343803188,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,adult_race,xgboost,multigroup_threshold,5,6513.0,0.8661139259941655,0.8044718304409731,0.7393397524071527,0.6855867346938775,0.7114493712772997,0.10880829015544041,0.2365381197796339,2.173897957974731,0.1277298296241935,0.5945945945945946,0.6912891986062718,0.03762376237623762,0.08086832061068702,0.09669460401167718,0.0432445582344494,0.09669460401167718,1.0,0.9212129341119664,0.02456625211116229,160.0,0.41264400335030793,0.0,0.24428066943037002,1.0,0.4155269060530026,0.24586105523750582,1.0,-0.0033778596652848103,0.12625267629710502,"{0: np.float64(0.45), 1: np.float64(0.45), 2: np.float64(0.35), 3: np.float64(0.6), 4: np.float64(0.35)}",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,adult_race,xgboost,coda_multigroup,5,6513.0,0.8681099339781975,0.7809610434163554,0.7922506183017313,0.6128826530612245,0.6911183027687882,0.10535405872193437,0.19601919317575972,1.8605756204715553,0.09066513445382535,0.581081081081081,0.6153310104529617,0.03564356435643564,0.05248091603053435,0.03424992937188065,0.016837351674098708,0.03424992937188065,1.0,0.9212129341119664,0.02318440042990941,151.0,0.3246461211763925,0.0,0.1673575925072931,1.0,0.32684824187248096,0.16834287482593224,1.0,-0.0013818516812528214,-0.1870696612060705,,5388.0,1617.0,4.127999385843697,5.0,5.0,0.14735547801109208,0.15521259677774615,0.45,0.5243440690791036,0.5420806537689488,0.12000000000000016,0.45,0.33000001316361827,0.4504908635883074,0.2399999868363819,0.35,0.4699999999999997,0.444206794855055,0.11999999999999972,0.6,0.4800000000000002,0.5012284970981118,0.11999999999999988,0.35,0.2300000000000001,0.2868309534776601,0.11999999999999988
42,recruitment_gender,logistic_regression,base_model,3,24238.0,1.0,1.0,1.0,1.0,1.0,0.23489140698772426,0.27149321266968324,1.15582437072239,0.03660180568195898,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.424854638351112,0.0,0.7484528426437825,1.0,1.4219951922001792,0.748635687117579,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,recruitment_gender,logistic_regression,multigroup_threshold,3,24238.0,1.0,1.0,1.0,1.0,1.0,0.23489140698772426,0.27149321266968324,1.15582437072239,0.03660180568195898,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.424854638351112,0.0,0.7484528426437825,1.0,1.4219951922001792,0.748635687117579,1.0,0.0,0.0,"{0: np.float64(0.5), 1: np.float64(0.5), 2: np.float64(0.45)}",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,recruitment_gender,logistic_regression,coda_multigroup,3,24238.0,0.9965343675220728,0.9966200919560559,0.989821882951654,0.9967969250480462,0.9932971592722631,0.23937677053824363,0.27163033045385987,1.1347397236711543,0.03225355991561624,1.0,0.9952020202020202,0.005862388151804999,0.001976284584980237,-0.004797979797979801,-0.0038861035668247617,0.004797979797979801,1.0,1.0,0.003465632477927222,84.0,1.3944597537185526,0.0,0.7427593035729021,1.0,1.3915374770635833,0.7429303787001819,1.0,-0.003465632477927194,-0.021084647051235805,,22329.0,3511.0,4.685768883490601,5.0,5.0,0.6787812093039325,0.15040331900976778,0.5,0.5567866744162693,0.4891445447580406,0.23999999999999855,0.5,0.38000000000000067,0.40090136304565765,0.21730084965346896,0.45,0.4719199400153624,0.38420080577911303,0.23999999999998756,,,,,,,,
42,recruitment_gender,xgboost,base_model,3,24238.0,0.9888192095057348,0.9830052522312049,0.985372988785958,0.9710121716848175,0.9781398725498105,0.23489140698772426,0.2652543534896476,1.1292637601830626,0.030362946501923338,0.9758793969849247,0.9676767676767677,0.007405121875964209,0.003482025221155656,-0.008202629308156961,-0.003923096654808553,0.008202629308156961,1.0,0.9994899805380353,0.0,0.0,1.388817962330796,0.0,0.7399950490964601,1.0,1.3858840232990532,0.740160410120721,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
